id,name,space_category,sub_space_category,product_type,detail_material,material_tag,style,furniture_color,description,tags
product54,Ordin Mid Century Modern Black Acacia Wood Round Coffee Table - Small,Indoor,Living Room,Coffee Table,Acacia Wood,Wood,Mid-Century Modern,Black,"The Ordin Mid Century Modern Black Acacia Wood Round Coffee Table is the epitome of style and functionality. Crafted from high-quality black acacia wood, it boasts a modern and sophisticated appearance. With its rounded shape and slim legs, it exudes a unique mid-century modern charm. This versatile table is suitable for various rooms, such as the living room, family room, or den. It serves multiple purposes, from holding food and drinks to displaying decorations or providing a surface for work or leisure activities, like using a laptop. Its high-quality materials, stylish design, and practical functionality make it an excellent addition to any space.",indoor living room coffee table wood midcentury modern
product55,Villa & House Astor Mid Century Modern White Wood Grasscloth Cabinet,Indoor,Dining Room,Cabinet,"Wood and Grasscloth, Steel (handle)","Wood, Bamboo",Mid-Century Modern,"White, Dutch White (grasscloth), Brass (handle)",The Villa & House Astor Mid-Century Modern White Wood Grasscloth Cabinet is a versatile storage cabinet that combines clean lines with a touch of texture.  This cabinet features a white wooden frame with two woven grasscloth doors and brass handles.,indoor dining room cabinet wood bamboo midcentury modern
product56,Dixie Furniture Cream Painted Shabby Chic,Indoor,"Living Room, Bedroom",Drawer,"Wood
Handle: Stainless Steel",Wood,Shabby Chic,"Banana Ice Cream, Handle: Black","The Dixie Furniture Cream Painted Shabby Chic Closet is a charming rustic style wardrobe with a modern twist. This cupboard is made of solid wood and painted in a soft cream color, giving it a charming vintage impression. This cupboard has four spacious drawers for storing various items, such as clothes, blankets or books. Its advantages include high-quality materials, a beautiful design, durability, sturdiness, and spacious storage, making it an ideal addition to any space.",indoor living room bedroom drawer wood shabby chic
product57,Stan NS Ivory Lamp Table,Indoor,"Living Room, Bedroom",Side Table,Mahogany Wood and MDF,Wood,Shabby Chic,"Ivory, Handle: Black","The Stan NS Ivory Lamp Table epitomizes Shabby Chic elegance with a blend of beauty and functionality. Crafted from high-quality mahogany and MDF, this product has a smooth and durable ivory paint finish. With three spacious storage drawers equipped with lids, it offers ample storage versatility. Supported by solid wood legs, ensuring stability and durability. Its advantages include a smooth and large surface, ideal for lighting or decoration, as well as a durable paint coating that resists peeling, ensuring long life and easy cleaning. Strong wooden legs increase stability, while the simple yet attractive design complements a variety of room styles. As a multifunctional furniture, it functions as a side table, lamp table, or small table for various purposes. Besides, it's very easy to clean with just a damp cloth, keeping its original appearance effortless.",indoor living room bedroom side table wood shabby chic
product58,4 Door Wardrobe Shabby Chic Furniture,Indoor,"Bedroom, Dressing Room",Wardrobe,Solid Mahogany Wood,Wood,Shabby Chic,French White,"This Shabby Chic Furniture 4 Door Wardrobe is the perfect blend of style and functionality. Made from premium dry mahogany (solid wood), this cupboard is sturdy and durable. The charming shabby chic design with its antique white finish will give an elegant touch to your bedroom. This cupboard has 4 doors that open into ample storage space. Inside there are shelves and hanging rails to hang your clothes neatly. There are also spacious drawers for storing accessories and other small items. This Shabby Chic Furniture 4 Door Wardrobe is the right choice for those who want to improve the aesthetics and functionality of their bedroom or dressing room.",indoor bedroom dressing room wardrobe wood shabby chic
product59,2 Door/2 Drawer Shabby Chic Window Pane Cabinet Antique White/Natural,Indoor,"Bedroom, Living Room",Cabinet,"Wood Composite (top)
wood (frame)
Stainless Steel (HANDLE)",Wood,Shabby Chic,"Floral white finish, Black (handle)","This cabinet has an floral white finish, natural top, and two doors with clear glass inserts. There is one fixed interior shelf and also two drawers above the glass doors. The antique white color with muted light complements the natural wood table beautifully. The cabinet has 2 doors and 2 drawers for optimal storage solutions. Window panes can display books or collectibles. Complete with a natural brown stain finish, this simple yet on-trend design will lend an understated and elegant style to any room. Place it wherever someone needs extra storage, such as a bedroom or foyer.",indoor bedroom living room cabinet wood shabby chic
product60,Besthom Shabby Chic Cottage Blackwash and Raftwood Brown Square Solid Wood End Table with 2 Drawers,Indoor,"Bedroom, Living Room",Side Table,"Mahogany (Frame), Stainless Steel (Handle)",Wood,Shabby Chic,"Blackwash + Mocha, Bronze (handle)","Part of the inherent beauty of this primitive Shabby Chic Cottage Collection are the natural hue variations, raw edges, visible nail heads and other rustic characteristics that are not flaws but add to the vintage charm. Purposefully distressed wood scoring, splits and cracks can range from slight to more significant, so no two pieces are the same yet all are structurally sound. Morover, the compact size of this accent table, combined with a double drawer and open shelf, makes it an ideal companion to a pedestal sink, small entranceway or den seating. Intriguing two tone wood finish will complement any decor. A perfect choice for your living room.",indoor bedroom living room side table wood shabby chic
product61,Pada TV Stand of Solid Pine Wood with 4 Doors 1800 mm,Indoor,Living Room,TV Stand,Pine Wood,Wood,Tropical/Natural,Natural Pine,"The Pada 1800 mm TV stand not only offers versatility with a Mediterranean and elegant touch, but also stands out for its commitment to sustainability. Locally crafted from solid natural pine wood, this piece stands out for its sturdy 30 mm thick structure. Its simple design stands out with a cantilevered top and distinctive leg structure, adding a touch of sophistication to any space and making it a unique piece that blends effortlessly into any decor style. In addition, the four doors with push-open and brake-lock system, along with the four internal compartments, offer a practical and tidy solution for storing electronic devices and other household items.",indoor living room tv stand wood tropicalnatural
product62,Calpe Natural Wooden Stool 420 mm,Indoor,Living Room,Stool,Pine Wood,Wood,Tropical/Natural,Natural Pine,"Wood and versatility, the perfect duo to make Calpe stool the protagonist of your living room. Made of untreated solid pine wood, a sustainable and durable material. The circular, lightweight look and clean lines will bring a timeless to your home. Calpe stool is destined to turn any corner. It stands out for its imperfect grain and soft touch, making it an essential piece for the home. Use it as a side table and decorate it with plants or any decorative object.",indoor living room stool wood tropicalnatural
product63,Bedside Table Tabarca Pine,Indoor,Bedroom,Side Table,Solid natural pine wood.,Wood,Tropical/Natural,Natural Pine,"Add style to bedroom with a Tabarca nightstand. Made of solid pine wood, untreated, a sustainable and durable material that will bring a warm and natural touch. The Tabarca nightstand is the perfect size for a small room. It is discreet and practical. With a drawer and a shelf to store everything needed for a relaxing sleep.",indoor bedroom side table wood tropicalnatural
product64,South Beach Recycled Plastic Oval End Table,Outdoor,Terrace,Side Table,POLYWOOD lumber (blend of plastics which includes recycled milk jugs and detergent bottles),Plastic,Tropical/Natural,"Aruba Polywood, Navy Polywood, Slate Grey Polywood","The South Beach Recycled Plastic Oval End Table is a stylish and eco-friendly piece of furniture that can be used outdoors. It is made of POLYWOOD lumber, a blend of plastics that includes recycled milk jugs and detergent bottles. The oval shape of the table makes it easy to move around and can be used in a variety of settings.",outdoor terrace side table plastic tropicalnatural
product65,Natural Wood Outdoor Lounge Sofa,Outdoor,"Garden, Terrace",Sofa,Teak Wood,"Wood, Fabric",Tropical/Natural,Clear Coat Natural Teak,"The Natural Wood Outdoor Lounge Sofa is characterized by strict lines elegantly combined with soft, rounded details. The sofa has room for two people and can be combined with a side table or other outdoor furniture from the same series. The sofa is made of FSC-certified teak, a hardy type of wood that patinas beautifully over time. ",outdoor garden terrace sofa wood fabric tropicalnatural
product66,Traditional Vintage Teak Wooden Chair,Indoor,Dining Room,Dining Chair,Teak Wood,Wood,Traditional,Teak SHP Brown,"The traditional vintage teak wooden chair is a Traditional piece of furniture that will add a touch of warmth and elegance to any dining room. The chair is made of high-quality, teak wood with a rich SHP brown color, and has a sturdy frame that will last for years to come. The simple, slatted back design and clean lines contribute to the traditional style.",indoor dining room dining chair wood traditional
product67,Windsor Rocking Chair,"Indoor, Outdoor","Living Room, Terrace, Balcony",Armchair,Wood,Wood,Traditional,Natural Wood,"The Windsor Rocking Chair is a classic wooden rocking chair with a timeless design that complements various spaces. Crafted from natural wood, it features a curved back with spindles for a touch of elegance.  This chair is most suited for living rooms, terraces, and balconies thanks to its gentle rocking motion that provides a relaxing and comfortable seating experience.",indoor outdoor living room terrace balcony armchair wood traditional
product68,Traditional Mennonite Corner Cabinet,Indoor,"Bedroom, Living Room",Cabinet,"Solid Wood, MDF (Medium-density fiberboard)",Wood,Traditional,Weathered Oak 270,"The Traditional Mennonite Corner Cabinet is a substantial and versatile storage solution for bedrooms or living rooms. Crafted from solid wood with MDF panels, it boasts a weathered oak 270 finish that exudes a rustic charm.  This corner cabinet maximizes space efficiency by utilizing the corner of a room and offers ample storage with its door and drawer. It also provides a generous amount of storage space and allows for storing a variety of items, from books and decorative objects to clothes or blankets. ",indoor bedroom living room cabinet wood traditional
product69,Whimsical Table Furniture From a Fairy World.,Outdoor,"Terrace, Balcony",Coffee Table,Oak Wood,Wood,Traditional,Light Brown,"The Whimsical Table is a charming coffee table ideal for terraces or balconies.  This circular table features a smooth Paradiso Classic Granite tabletop supported by a black, wrought iron base with curving,  twig-like legs. The granite top has a light and airy feel,  and the black wrought iron base adds a touch of whimsy that evokes a feeling of a fairy world. This table is the perfect size for placing drinks, snacks, or decorative items on your terrace or balcony.",outdoor terrace balcony coffee table wood traditional
product70,Timeless Cherrywood Dining Table,Indoor,"Kitchen, Dining Room",Dining Table,Cherry Wood,Wood,Traditional,Chocolate Spice Cherry Wood,"The Timeless Cherrywood Dining Table is a beautiful and substantial piece of furniture that will add a touch of warmth and elegance to any kitchen or dining room. The table is crafted from high-quality cherry wood in a rich, chocolate spice color, and features a classic pedestal design with four slightly tapered legs.  The spacious, round tabletop provides ample dining space for family and friends because the table is large enough to seat comfortably around six to eight people.  The timeless design and rich color of the wood ensure this table will remain a staple for years to come.",indoor kitchen dining room dining table wood traditional
product71,Korean Traditional Rectangular Dining Table,Indoor,"Kitchen, Dining Room",Dining Table,Ginkgo Wood,Wood,Traditional,Ginkgo dark brown,"The Korean Traditional Rectangular Dining Table is a compact and elegant piece that would be perfect for a kitchen or dining room. The table is made from dark brown ginkgo wood, which is known for its beautiful grain and durability. The table's simple, rectangular design is complemented by clean lines and straight legs. This table is ideal for seating comfortably while enjoying food.",indoor kitchen dining room dining table wood traditional
product72,Walnut Wood and Cow Leather Backrest Chair ,Indoor,"Kitchen, Dining Room",Dining Chair,"Walnut Wood, Leather","Wood, Leather",Classic,Walnut Earthtone (dark brown) + Dark Brown Leather,"The Walnut Wood and Cow Leather Backrest Chair is a stately and sophisticated piece that would add a touch of Victorian elegance to any kitchen or dining room. The chair is crafted from walnut wood with a rich, earthtone brown finish that highlights the natural beauty of the grain. The high backrest is upholstered in luxurious cow leather and coated in a dark brown color, which provides both comfort and style. ",indoor kitchen dining room dining chair wood leather classic
product73,Old Middle Eastern sofa,Indoor,Living Room,Sofa,"Teak Wood
Seat/Back: Memory foam covered in polyester fabric ","Wood, Fabric, Foam",Classic,"Natural Dark Teak
Seat/Back: Olive Green Polyester Fabric","This grand Old Middle Eastern Sofa would be a commanding presence in any living room.  The dark natural teak wood frame evokes a sense of strength and stability,  and complements the plush olive green polyester fabric cushions. Victorian details are likely reflected in the sofa's overall shape and design. The memory foam cushioning hidden beneath the polyester fabric promises ultimate comfort and relaxation.  This sofa is ideal for sprawling out with a good book or entertaining a large group of guests.",indoor living room sofa wood fabric foam classic
product74,Antique 19th Century Style Dining Table with Elegant Design,Indoor,"Dining Room, Kitchen",Dining Table,Mahogany Wood,Wood,Classic,Mahogany Early American,"The Antique 19th Century Style Dining Table with Elegant Design is a beautiful and versatile piece that would add a touch of sophistication to any dining room or kitchen. The table is crafted from mahogany wood in a rich, early American finish that highlights the natural beauty of the wood grain. The elegant design features a pedestal base with four curved legs that taper towards the bottom. The curved legs add a touch of femininity to the piece, while the overall design is both classic and timeless. This table can comfortably seat approximately five to seven people for dinner parties or family gatherings.",indoor dining room kitchen dining table wood classic
product75,Victoria's Elegance Armchair,Indoor,"Living Room, Bedroom",Armchair,"Cherry Wood
Seat/Back: Leather","Wood, Leather",Classic,"Boston Cherry 
Seat/Back: Natural Dark Brown Leather","The Victoria's Elegance Armchair is a charming and inviting piece that embodies Victorian sophistication. Crafted from warm cherry wood with a rich Boston Cherry stain, the chair exudes a sense of timeless elegance. This Chair describes the stain color as having a reddish-brown hue, gentle curves, and rolled arms that contribute to its overall g racefulness. Upholstered in natural dark brown leather, the seat and back promise both comfort and style. This Chair also offers a relaxing haven for reading, afternoon tea, or fireside conversation. It would be a perfect addition to a living room or bedroom.",indoor living room bedroom armchair wood leather classic
product76,Majestic Persian Artistry Sofa,Indoor,Living Room,Armchair,"Basic material leg: Mahogany Wood (Frame)
Coating Material leg: Gold Leaf (Frame)
Seat/Back: Leather","Wood, Metal, Leather",Classic,"Frame: Gold
Seat/Back: Dark Brown","The Majestic Persian Artistry Sofa is a luxurious armchair that would add a touch of grandeur to any living room. The frame, crafted from mahogany wood and coated in gold leaf, gleams regally. This armchair is decorated with paisley or floral patterns.  The deep brown leather seat and back offer a rich contrast to the gold frame,  providing a comfortable place to sit. ",indoor living room armchair wood metal leather classic
product77,Metallic Lining Chair,"Indoor, Outdoor","Living Room, Terrace",Armchair,"Frame: Stainless Steel
Seat/Back : Polyurethane Foam covered with Fabric","Metal, Foam",Modern,"Frame: Gold
Seat/Back : Navy Blue",The Metallic Lining Chair is a striking modern armchair that would be perfect for a living room or terrace. The chair features a sleek gold stainless steel frame that gleams in the light. The frame cradles a plush seat and back upholstered in a luxurious navy blue polyurethane foam. The rich color combination exudes sophistication and style. The chair's clean lines and smooth surfaces give it a contemporary look that would complement a variety of design aesthetics. This armchair is sure to add a touch of glamour to any space.,indoor outdoor living room terrace armchair metal foam modern
product78,Modern Portside Outdoor Sofa,Outdoor,"Terrace, Balcony",Armchair,"Solid mahogany
Cushion: Canvas","Wood, Fabric",Modern,"Pearl Gray, Slate","The Modern Portside Outdoor Sofa is a stylish and versatile piece of furniture that can elevate terrace or balcony. Crafted from a combination of solid mahogany and solid eucalyptus wood, this sofa is designed to withstand the elements. The naturally weather-resistant wood adds a touch of modern sophistication to outdoor space. The cushions are upholstered in a durable canvas material that is both comfortable and easy to clean and the cushion comes in pearl gray or slate. This armchair is a great choice for relaxing and enjoying the outdoors.",outdoor terrace balcony armchair wood fabric modern
product79,Modern Euphoria Sofa Collection ,Indoor,Living Room,Sofa,Linen Fabric,Fabric,Modern,Dark Gray,"The Modern Euphoria Sofa Collection is a stunning and sophisticated piece of furniture that would make a statement in any living room. The sofa is upholstered in a luxurious pearl grey linen fabric that is both soft and durable. The fabric is also stain-resistant, making it easy to care for. The sofa's clean lines and modern design are sure to turn heads, and the comfortable cushions make it a perfect place to relax and unwind. If you are looking for a stylish, comfortable, and durable sofa, the Modern Euphoria Sofa Collection is a perfect choice. The sofa is sure to add a touch of luxury.",indoor living room sofa fabric modern
product80,Stylish Serenity Modern Sofa ,"Indoor, Outdoor","Living Room, Terrace",Sofa,"Cotton Fabric, Wood (base)",Fabric,Modern,Beige Cotton,"The Stylish Serenity Modern Sofa is the right choice to bring a modern and elegant touch in living room or terrace. This sofa is made of soft and comfortable cotton fabric in a neutral cream color and is easy to mix and match with various decorations. The modern and minimalist sofa design with clean lines gives a neat impression. This sofa has a soft seat and high back, so it provides maximum comfort when sitting to relax or chat with family and friends. Sofa legs made of sturdy wood provide high stability and durability.",indoor outdoor living room terrace sofa fabric modern
product81,Modern Steel and Oak Wood Side Table,Indoor,Living Room,Coffee Table,Steel and Oak Wood,"Metal, Wood",Modern,"Natural Oak
legs: Black","The Modern Steel and Oak Wood Side Table is a versatile piece of furniture that can be used in a variety of ways. The table features a sleek black steel base that provides a sturdy and contemporary foundation. The natural oak wood tabletop adds a touch of warmth and character to the piece. The contrast between the dark legs and the light-colored top creates a visually interesting look that complements modern living rooms. The spacious tabletop provides plenty of room for drinks, snacks, lamps, books, or decorative items. The clean lines and simple design of the table make it a great choice for any modern living space.",indoor living room coffee table metal wood modern
product82,Traditional Manor Oak Wardrobe,Indoor,"Bedroom, Dressing Room",Wardrobe,Oak Wood,Wood,Traditional,Coffee Brown,"The Traditional Manor Oak Wardrobe is a beautiful piece of furniture that would add a touch of elegance to any bedroom or dressing room. The wardrobe is made of solid oak wood and has a classic design that will never go out of style. The wardrobe has two paneled doors and two drawers, which provide ample storage space for clothes and belongings. The rich coffee brown color of the wood complements a variety of decor styles.",indoor bedroom dressing room wardrobe wood traditional
product83,Classy White Leather Sofa 1 Seater,Indoor,Living Room,Sofa,"Cushion: Leather
Leg: Stainless Steel
Pillow: Linen Fabric","Leather, Metal, Fabric",Classy,"Cushion: White + Brown
Leg: Black
Pillow: Light Slate Gray  ","The Classy White Leather Sofa Seater is a piece of furniture that would be a perfect addition to any living room. The cushions are upholstered in a luxurious white leather, that looks soft and inviting. The Light Slate Gray pillows add a touch of contrast and personality to the sofa.  The stainless steel legs give the sofa a classy and polished look, while the black color provides a nice contrast to the white leather. This sofa is sure to provide a comfortable and stylish place to relax.",indoor living room sofa leather metal fabric classy
product84,Classy Wardrobe Wooden Cabinet with Bed,Indoor,Bedroom,Wardrobe,Mahogany Wood; Memory foam covered in polyester fabric ,"Wood, Fabric, Foam",Classy,"Dark Brown Mahogany (Wardrobe), Beige (Bed)","The classy wardrobe with a built-in platform bed made from dark brown mahogany wood. The wardrobe has two large, full-length doors with a clean,  straight-line design. These doors could be hinged or sliding. The bed frame sits below the wardrobe and appears to be visually connected to it. This all-in-one wardrobe and bed combination would be a space-saving solution for a bedroom, particularly a smaller one. The dark brown mahogany color creates a sophisticated and luxurious look.",indoor bedroom wardrobe wood fabric foam classy
product85,Classy Comfort Oval Wooden Armchair,"Indoor, Outdoor","Living Room, Terrace, Balcony",Armchair,"Frame: Solid Teak Wood
Cushion: Upholstered Fabric","Wood, Fabric",Classy,"Frame: Teak Brown
Cushion: Beige","The Classy Comfort Oval Wooden Armchair is a stylish and comfortable piece of furniture that will add a touch of elegance to any living room, terrace, or balcony. The chair is made of solid teak wood, a durable material known for its beautiful grain and rich, teak brown color. The frame has a unique oval shape that provides a comfortable and inviting seat. The cushion is upholstered in a soft, beige fabric that complements the warmth of the teak wood and offers additional comfort and support. This armchair is a perfect spot to curl up with a good book or enjoy a cup of coffee in the fresh air.",indoor outdoor living room terrace balcony armchair wood fabric classy
product86,Luxury Walnut Touch Coffee Table,"Indoor, Outdoor","Living Room, Terrace, Balcony",Coffee Table,Walnut Wood,Wood,Classy,Dark Walnut+White,"The Luxury Walnut Touch Coffee Table is a stylish and sophisticated piece that would be a perfect addition to any living room, terrace, or balcony. The table features a dark walnut finish that exudes elegance and warmth. The dark color of the walnut wood will likely complement a variety of design styles and color palettes. The table has a clean, simple design with a smooth tabletop surface. The  four legs provide a sturdy base and contribute to the overall classy look. This coffee table would be a great spot to rest drinks, books, or decorative items.",indoor outdoor living room terrace balcony coffee table wood classy
product87,Teak Golden Brown Dining Room Table With Carvings,Indoor,"Dining Room, Kitchen",Dining Table,"Solid Teak Wood, Marble","Wood, Stone",Classy,"Teak Golden Brown, Olive Green","The Teak Golden Brown Dining Room Table With Carvings is a timeless piece that will add a touch of complex elegance to your dining room. Crafted from solid teak wood, renowned for its durability and rich golden brown color, this table is built to withstand the test of time. The intricate carvings that adorn the table's base add a touch of artistry and craftsmanship, making it a true focal point for any dining space.",indoor dining room kitchen dining table wood stone classy
product88,Classy Bathroom Storage Cabinet Particleboard Taupe Brown,Indoor,Bathroom,Cabinet,"Particleboard, Stainless Steel","Wood, Metal",Classy,"Taupe Brown, Bronze","The Classy Bathroom Storage Cabinet Particleboard Taupe Brown is a sleek and functional piece that adds a touch of sophistication to any bathroom. This cabinet is constructed from particleboard making it both durable and affordable. Its taupe brown finish complements a variety of bathroom color schemes, creating a timeless look. The cabinet features two drawers and a cabinet door, providing ample storage space for toiletries, towels, and other bathroom essentials. Its clean lines and simple design make it a perfect fit for contemporary bathrooms.",indoor bathroom cabinet wood metal classy
product89,Charming Lounge Chair for Living Room,Indoor,"Living Room, Bedroom",Armchair,"Cushion: Cotton Fabric
Leg: Stainless Steel","Fabric, Metal",Classy,"Leg: Gold
Seat/Back : Beaver Brown","Charming Lounge Chair for Living Room is a piece of furniture that invites relaxation and tranquility into your home. This armchair has a curved back, upholstered in soft beaver brown cotton fabric. The material conforms to your body for exceptional comfort, while the gold-tone stainless steel legs add a touch of glamour. This chair is ideal for curling up with a good book or spending time with loved ones. Whether placed in your living room or bedroom, the Charming Lounge Chair is sure to become a favorite place to unwind.",indoor living room bedroom armchair fabric metal classy
product90,Alpinia Cabinet with 1 Drawer Nightstand,Indoor,"Living Room, Bedroom",Cabinet,"MDF (Medium-Density Fiberboard), Titanium Metal","Wood, Metal",Classy,"Porcelain White, Titanium","The Alpinia Cabinet with 1 Drawer Nightstand is a versatile and stylish piece of furniture that can be used in a variety of spaces throughout your home, including the living room or bedroom. Made from MDF (medium-density fiberboard), a durable and easy-to-care-for material, this nightstand is built to last.  Its classy design with clean lines and a porcelain white finish adds a touch of elegance to any space. The cabinet features one drawer for storing away items you want to keep hidden, and a shelf below for displaying decorative objects or keeping frequently used items handy. This nightstand is a great way to add both style and functionality to a place.",indoor living room bedroom cabinet wood metal classy
product91,Savonarola Baroque Armchair,Outdoor,"Terrace, Balcony",Armchair,Teak Wood,Wood,Traditional,Natural Teak,"The Savonarola Baroque Armchair is a stunning piece of furniture that will add a touch of elegance to any terrace or balcony. This armchair is made from solid teak wood, which is known for its durability and resistance to the elements. The natural teak finish showcases the beautiful grain of the wood, and the traditional design of the chair will complement any décor. The Savonarola Baroque Armchair is the perfect place to relax and enjoy the outdoors.",outdoor terrace balcony armchair wood traditional
product92,Ornament Chesterfield Sofa,Indoor,Living Room,Sofa,"Basic material Leg: Mahogany Wood (Frame)
Coating Material Leg: Gold Leaf (Frame)
Seat/Back: Leather","Wood, Metal, Leather",Classic,"Leg: Gold
Seat/Back: Misty Rose","The Ornament Chesterfield Sofa is a luxurious and statement piece that will be a focal point in any living room. This classic Chesterfield sofa features deep button tufting and rolled arms, upholstered in beautiful Misty Rose leather. The rich leather texture is complemented by a gold leaf finish on the mahogany frame, adding a touch of glamor.",indoor living room sofa wood metal leather classic
product93,White Smoke Sleek Modern Chair with Oak ,Indoor,Living Room,Armchair,"Cushion: Linen Fabric
Leg: Oak Wood","Fabric, Wood",Modern,"Leg: Quarter Sewn Oak
Seat/Back: White Smoke","The White Smoke Sleek Modern Chair with Oak is a stylish and comfortable armchair that would be a great addition to any living room. The chair features a simple yet elegant design with clean lines and a neutral color palette. The seat and back cushion are upholstered in a soft, white smoke colored linen fabric, while the legs are made from quarter-sawn oak wood. The chair's cushioned seat and back provide excellent comfort, making it a great place to relax and unwind. The chair's sleek design also makes it visually appealing, and it would complement a variety of modern living room decor styles.",indoor living room armchair fabric wood modern
product94,Demers Barrel Couch,"Indoor, Outdoor","Living Room, Terrace, Balcony",Sofa,"Basic material Leg: Stainless Steel
Coating Material Leg: Gold Leaf 
Seat/Back: Canvas Fabric","Metal, Fabric",Modern,"Leg: Gold
Seat/Back: Blue Sapphire","The Demers Barrel Couch is a modern, versatile sofa ideal for living rooms, terraces, or balconies. This couch features a blue sapphire canvas fabric seat and back,  supported by a gold stainless steel base. The curvature of the couch and the gold legs give it a stylish and luxurious look.",indoor outdoor living room terrace balcony sofa metal fabric modern
product95,Gray Velvet Indoor and Outdoor Bean Bag,"Indoor, Outdoor","Living Room, Terrace, Balcony",Pouf,Velvet,Fabric,Modern,Gray Velvet,"The Gray Velvet Indoor and Outdoor Bean Bag is a modern pouf made from Korsyka fabric in gray velvet. This bean bag is versatile and can be used in various rooms, whether in the living room, terrace, or balcony. The design of this bean bag is simple and elegant with a round shape that is comfortable to sit on. The Korsyka fabric used is durable and waterproof, making it suitable for use indoors and outdoors. Gray Velvet Indoor and Outdoor Bean Bag are the right choices to add seating to your room. This bean bag can also be used to relax or read a book.",indoor outdoor living room terrace balcony pouf fabric modern
product96,Magnificent Victorian Antique Desk,Indoor,"Living Room, Bedroom",Desk,"Solid walnut wood, Stainless Steel","Wood, Metal",Classic,"Natural Walnut, Silver","The Magnificent Victorian Antique Desk is a timeless piece of furniture that would be a welcome addition to any living room or Bedroom. Crafted from solid walnut wood, the desk boasts a rich, natural walnut color that exudes warmth. The sleek silver stainless steel handles add a touch of modern elegance and complement the classic design. This well-made desk is sure to provide a sturdy and stylish room.",indoor living room bedroom desk wood metal classic
product97,Soft Embrace Bean Bag,"Indoor, Outdoor","Living Room, Terrace, Balcony",Pouf,Canvas Fabric,Fabric,Classy,Light Slate Gray,"The Soft Embrace Bean Bag is a classy pouf perfect for adding a touch of comfort and style to any living room, terrace, or balcony.  This versatile piece of furniture features a light slate gray canvas fabric exterior, inviting relaxation. The bean bag's soft, yielding form conforms to your body, providing a comfortable place to sit and unwind.  Whether you're looking for extra seating, a cozy spot to curl up with a book, or simply an elegant accent piece.",indoor outdoor living room terrace balcony pouf fabric classy
product98,Comfort Canvas Bean Bag,"Indoor, Outdoor","Living Room, Terrace, Balcony",Pouf,Canvas Fabric,Fabric,Modern,Oxford Gray,"The Comfort Canvas bean bag is a modern pouf made from canvas fabric in Oxford Gray color. This bean bag is versatile and can be used in various rooms, whether in the living room, terrace, or balcony. The design of this bean bag is simple with a round shape that is comfortable to sit on. The canvas fabric used is durable and waterproof, making it suitable for use indoors and outdoors. Comfort Canvas bean bags are the right choice to add seating to your room. This bean bag can also be used to relax or read a book.",indoor outdoor living room terrace balcony pouf fabric modern
product99,Supreme Plush Linen Bean Bag,"Indoor, Outdoor","Living Room, Terrace, Balcony",Pouf,"Solid Linen Fabric, Metal",Fabric,Minimalism,"Cadet Gray, Dark Gray (Metal)","The Supreme Plush Linen Bean Bag is a minimalist pouf, perfect for adding a touch of comfort and style to any living room, terrace, or balcony. This versatile piece of furniture features a cadet gray, solid linen fabric exterior, inviting relaxation. The bean bag's soft, yielding form conforms the body, providing a comfortable place to sit and unwind. Supreme Plush Linen Bean Bag is suitable for extra seating, a cozy spot to curl up with a book, or simply an elegant accent piece. The solid linen fabric is known for its durability and breathability, making this bean bag a comfortable and long-lasting option.",indoor outdoor living room terrace balcony pouf fabric minimalism
product100,Artichoke Pop Art Sofa,Indoor,Living Room,Sofa,Faux Leather,Leather,Pop-Art,"Vibrant Teal (back), Razzmatazz (seat)","The Artichoke Pop Art Sofa is a stylish and eye-catching sofa furniture with a striking pop art touch. This sofa is made from high-quality faux leather and is available in two bold, bright colors which are vibrant teal for the back and razzmatazz for the seat. This unique color combination creates an energetic and fun look, perfect for a room that wants to be different. The design of this sofa is inspired by the shape of the artichoke, with the leaves jutting out creating an interesting texture. This detail is enhanced by contrast stitching that runs around the edges of the sofa, providing a neat and professional finish.
The Artichoke Pop Art Sofa is an ideal choice for those looking for a sofa that is not only comfortable but also stylish. This sofa will become the main focal point in any room and add a touch of personality and uniqueness to your decor.",indoor living room sofa leather popart
